18.224.20.83 - - [13/Aug/2020:12:10:48 +0000] "GET /.well-known/acme-challenge/wPFUt_KZfSOi_bthrW4TqPgojUBamjNGqy2M9Zd-DTo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
34.211.60.134 - - [13/Aug/2020:12:10:48 +0000] "GET /.well-known/acme-challenge/wPFUt_KZfSOi_bthrW4TqPgojUBamjNGqy2M9Zd-DTo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
66.133.109.36 - - [13/Aug/2020:12:10:48 +0000] "GET /.well-known/acme-challenge/wPFUt_KZfSOi_bthrW4TqPgojUBamjNGqy2M9Zd-DTo HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
85.215.2.227 - - [13/Aug/2020:12:13:22 +0000] "GET / HTTP/1.1" 200 612 "-" "Server-Daten Check your Website (https://check-your-website.server-daten.de/)" "-"
85.215.2.227 - - [13/Aug/2020:12:13:23 +0000] "GET /.well-known/acme-challenge/check-your-website-dot-server-daten-dot-de HTTP/1.1" 404 153 "-" "Server-Daten Check your Website (https://check-your-website.server-daten.de/)" "-"
65.155.30.101 - - [13/Aug/2020:12:16:48 +0000] "GET / HTTP/1.1" 200 612 "http://www.bing.com/search?q=amazon" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36" "-"
128.14.134.170 - - [13/Aug/2020:12:17:38 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" "-"
65.154.226.100 - - [13/Aug/2020:12:18:40 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36" "-"
65.154.226.100 - - [13/Aug/2020:12:18:51 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/78.0.3904.70 Safari/537.36" "-"
36.77.217.24 - - [13/Aug/2020:12:21:08 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
52.26.74.135 - - [13/Aug/2020:12:27:42 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:12:33:43 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
156.96.117.57 - - [13/Aug/2020:12:35:15 +0000] "GET / HTTP/1.1" 200 612 "-" "libwww-perl/6.05" "-"
180.254.29.185 - - [13/Aug/2020:12:41:21 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7" "-"
66.240.205.34 - - [13/Aug/2020:12:53:24 +0000] "H\x00\x00\x00tj\xA8\x9E#D\x98+\xCA\xF0\xA7\xBBl\xC5\x19\xD7\x8D\xB6\x18\xEDJ\x1En\xC1\xF9xu[l\xF0E\x1D-j\xEC\xD4xL\xC9r\xC9\x15\x10u\xE0%\x86Rtg\x05fv\x86]%\xCC\x80\x0C\xE8\xCF\xAE\x00\xB5\xC0f\xC8\x8DD\xC5\x09\xF4" 400 157 "-" "-" "-"
46.42.145.34 - - [13/Aug/2020:13:04:04 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:13:04:04 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:13:06:15 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:13:06:15 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:13:07:31 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
218.211.168.178 - - [13/Aug/2020:13:11:01 +0000] "scuclark" 400 157 "-" "-" "-"
188.225.105.97 - - [13/Aug/2020:13:42:02 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
103.89.62.86 - - [13/Aug/2020:13:58:54 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.7 (KHTML, like Gecko) Version/9.1.2 Safari/601.7.7" "-"
46.42.145.34 - - [13/Aug/2020:14:16:33 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:14:16:33 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
45.83.65.205 - - [13/Aug/2020:14:23:50 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0" "-"
46.42.145.34 - - [13/Aug/2020:14:35:14 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
